data_index_,solar_prediction_mw,wind_prediction_mw,load_actuals_mw,dayofweek,total_gen
2020-05-28 00:00:00+00:00,6888.650436251056,8085.5086254840835,9122.822870478412,3,14974.15906173514
2020-05-29 00:00:00+00:00,6903.551771585828,6384.0840557378215,9067.275555319826,4,13287.63582732365
2020-05-30 00:00:00+00:00,6719.857241142072,7859.990866834363,8109.846231038507,5,14579.848107976435
2020-05-31 00:00:00+00:00,6541.279669762643,8826.207720841476,7735.608912697571,6,15367.487390604118
2020-06-01 00:00:00+00:00,6628.049066516559,7062.095959467113,7885.624003394505,0,13690.145025983671
2020-06-02 00:00:00+00:00,6562.2635018919855,1582.3624029920047,9356.709617057388,1,8144.62590488399
2020-06-03 00:00:00+00:00,5468.348344122339,3884.0770400379615,9491.052283865492,2,9352.4253841603
2020-06-04 00:00:00+00:00,1981.306876817713,8109.634979514156,9615.990652381457,3,10090.941856331869
2020-06-05 00:00:00+00:00,2924.7193295180914,8937.678900346447,9364.078135143736,4,11862.398229864539
2020-06-06 00:00:00+00:00,5455.827626106265,14070.331753312686,8081.95804391641,5,19526.15937941895
2020-06-07 00:00:00+00:00,5513.974888200895,5981.915439131788,8135.875111912591,6,11495.890327332683
2020-06-08 00:00:00+00:00,3876.1805360102576,5329.433029404711,9519.760950461441,0,9205.61356541497
2020-06-09 00:00:00+00:00,3910.6662601244648,1704.7946568429861,9764.230291715287,1,5615.460916967451
2020-06-10 00:00:00+00:00,3776.7496950933487,1204.857160350836,9770.245878858597,2,4981.6068554441845
2020-06-11 00:00:00+00:00,4675.20858122293,6561.526412196603,9639.5444616527,3,11236.734993419534
2020-06-12 00:00:00+00:00,4071.789880226413,5200.100515845277,9557.563922775007,4,9271.89039607169
2020-06-13 00:00:00+00:00,5802.256309222254,2062.3249263989305,8394.442677415933,5,7864.5812356211845
2020-06-14 00:00:00+00:00,5313.119585952404,2761.5414640617587,7810.999431420389,6,8074.661050014163
2020-06-15 00:00:00+00:00,5364.332176251682,895.4405604396165,9228.636374244192,0,6259.772736691299
2020-06-16 00:00:00+00:00,4514.490884072928,476.30734377949784,9389.38889360348,1,4990.798227852425
2020-06-17 00:00:00+00:00,3712.590648653931,979.6876355305654,9549.87967752201,2,4692.278284184496
2020-06-18 00:00:00+00:00,4154.0638583982245,1739.1964600054084,9360.27718256073,3,5893.2603184036325
2020-06-19 00:00:00+00:00,5140.74213253297,5287.792299567833,9189.494536968283,4,10428.534432100801
2020-06-20 00:00:00+00:00,5373.72728828188,1909.3514176816045,8294.047930412644,5,7283.078705963484
2020-06-21 00:00:00+00:00,3322.1182412358885,7046.484751695248,7830.47248329267,6,10368.602992931137
2020-06-22 00:00:00+00:00,6317.510079174583,2023.316997382506,9326.820814681236,0,8340.827076557089
